,class,R,G,B,luminance,colorfulness
0,antelope,0.57934856,0.53988,0.43426377,0.5406455,0.15909964
1,badger,0.52835274,0.51809263,0.4506881,0.5154073,0.1009389
2,bat,0.30152166,0.2757431,0.21605505,0.27691412,0.10470176
3,bear,0.48662302,0.4750088,0.4249269,0.47386208,0.084765255
4,bee,0.6409279,0.5906783,0.4380339,0.59034044,0.21241699
5,beetle,0.6472552,0.59510505,0.4767456,0.5976466,0.18124321
6,bison,0.5498854,0.5238528,0.4493479,0.5240081,0.118993014
7,boar,0.4503433,0.4505671,0.38076976,0.44548017,0.09736805
8,butterfly,0.57102805,0.56834626,0.4871542,0.5630543,0.11025876
9,cat,0.5955343,0.5622507,0.5160287,0.56598955,0.098813504
10,caterpillar,0.4611333,0.5440495,0.33119586,0.5110535,0.21808058
11,chimpanzee,0.4444845,0.4488399,0.3613131,0.4415945,0.1131424
12,cockroach,0.77272105,0.72595155,0.68263716,0.73276746,0.109144896
13,cow,0.48509958,0.4921046,0.40266663,0.4841579,0.11390276
14,coyote,0.5434368,0.51432765,0.44751427,0.51569235,0.1141004
15,crab,0.6646534,0.5584339,0.49409083,0.5763706,0.18604183
16,crow,0.5385834,0.5735677,0.58001906,0.56659585,0.07007554
17,deer,0.4949483,0.45259765,0.35090485,0.4542592,0.15764438
18,dog,0.60048026,0.57493347,0.47117662,0.5728734,0.14697993
19,dolphin,0.27399144,0.51023924,0.6370492,0.46916866,0.36798447
20,donkey,0.52008605,0.50045186,0.42696398,0.49932027,0.11326973
21,dragonfly,0.5199544,0.5528234,0.39534226,0.5344653,0.17250809
22,duck,0.47891846,0.4834285,0.41951004,0.47785476,0.08951042
23,eagle,0.41080528,0.43762493,0.43297184,0.4315871,0.05589526
24,elephant,0.5000782,0.4673718,0.37596977,0.46772596,0.14029177
25,flamingo,0.65049917,0.60856736,0.6058006,0.6172823,0.07586437
26,fly,0.6542032,0.6410513,0.50964725,0.63436,0.16628763
27,fox,0.49196935,0.4449387,0.3607074,0.44885594,0.14524591
28,goat,0.58038515,0.5605604,0.48267913,0.55915207,0.11768639
29,goldfish,0.48079732,0.40770432,0.34338373,0.41859996,0.15224853
30,goose,0.5584742,0.5619021,0.48106936,0.5553372,0.1068753
31,gorilla,0.40982515,0.4188087,0.34933013,0.41188246,0.093287036
32,grasshopper,0.4832421,0.51743305,0.39369208,0.50122994,0.13967462
33,hamster,0.7014024,0.61665887,0.55234283,0.63003176,0.16393118
34,hare,0.5721488,0.5504015,0.44951975,0.5477413,0.14153394
35,hedgehog,0.5348187,0.4924591,0.40143216,0.4948926,0.14761846
36,hippopotamus,0.5277664,0.50362825,0.43595934,0.5038743,0.11099373
37,hornbill,0.4435052,0.46493125,0.37690806,0.45402083,0.107906535
38,horse,0.5986298,0.56225747,0.49100566,0.5648458,0.124233246
39,hummingbird,0.4673608,0.48120385,0.3655926,0.46991372,0.13724998
40,hyena,0.53189564,0.46673805,0.3615551,0.47299632,0.18007587
41,jellyfish,0.24945076,0.29705122,0.41196355,0.29522803,0.17433482
42,kangaroo,0.5334297,0.50049156,0.39503896,0.49988052,0.15397482
43,koala,0.47464317,0.4721254,0.41855204,0.4687927,0.08257228
44,ladybugs,0.48235828,0.5277496,0.29992107,0.50165015,0.23777716
45,leopard,0.46921116,0.44468242,0.3596508,0.44375798,0.12802254
46,lion,0.5361918,0.45320788,0.3509411,0.46346658,0.19367296
47,lizard,0.5006937,0.44766784,0.34197164,0.4513099,0.1701287
48,lobster,0.6290243,0.5418372,0.48944163,0.5565902,0.15735686
49,mosquito,0.7230789,0.6797709,0.57339233,0.68129766,0.16284114
50,moth,0.48580816,0.46106446,0.3923053,0.46136057,0.112502575
51,mouse,0.6341293,0.5757607,0.53209335,0.58501714,0.12103242
52,octopus,0.44680223,0.4668977,0.44701326,0.46118975,0.050056092
53,okapi,0.48154426,0.4966523,0.4037906,0.48673573,0.11431743
54,orangutan,0.4263702,0.37602702,0.27891645,0.37971857,0.15992206
55,otter,0.4969449,0.49916935,0.4690783,0.49652386,0.05674633
56,owl,0.48000687,0.44819105,0.36280918,0.4487905,0.1338513
57,ox,0.5086579,0.50872827,0.4669512,0.505697,0.06942423
58,oyster,0.651296,0.61023945,0.5634381,0.615589,0.10654235
59,panda,0.4196762,0.43229765,0.3699532,0.42511308,0.0851199
60,parrot,0.54812616,0.54235995,0.44339594,0.5364407,0.12969244
61,pelecaniformes,0.46882668,0.47405598,0.4561198,0.47164923,0.04387159
62,penguin,0.6116634,0.63548505,0.6655664,0.6325925,0.07596072
63,pig,0.5493563,0.4908504,0.42871606,0.4988026,0.13619296
64,pigeon,0.510019,0.4986872,0.47584012,0.49944675,0.058364496
65,porcupine,0.5019514,0.48478022,0.42751402,0.4842962,0.09573598
66,possum,0.5208859,0.49687773,0.44117254,0.49795994,0.099521905
67,raccoon,0.45183998,0.4416897,0.34434542,0.4368194,0.1306034
68,rat,0.56951964,0.53251714,0.49546713,0.5377089,0.09442897
69,reindeer,0.6281232,0.6248215,0.603661,0.62399566,0.05073132
70,rhinoceros,0.49146283,0.46445107,0.41323882,0.46649626,0.09781122
71,sandpiper,0.61663836,0.620274,0.6044746,0.61836034,0.042128794
72,seahorse,0.34789196,0.34816837,0.33612573,0.34724012,0.039589882
73,seal,0.50738996,0.51166016,0.49651435,0.50965875,0.0413758
74,shark,0.24654637,0.4684933,0.6024805,0.43098125,0.35823658
75,sheep,0.55781704,0.5296493,0.46746582,0.53114814,0.10898498
76,snake,0.47558242,0.43385208,0.33846948,0.43583733,0.15119325
77,sparrow,0.5483899,0.5261426,0.4201255,0.5232179,0.14691688
78,squid,0.38736227,0.39454705,0.40068072,0.3934624,0.039774276
79,squirrel,0.5224635,0.4799551,0.3886684,0.4824015,0.14798364
80,starfish,0.47185186,0.4367177,0.41527563,0.44263908,0.08018105
81,swan,0.4797439,0.5022583,0.51656556,0.49850473,0.061747488
82,tiger,0.5285606,0.46987146,0.3518789,0.4738297,0.18627809
83,turkey,0.47419587,0.471699,0.37130293,0.46498126,0.12935741
84,turtle,0.30970177,0.46070474,0.453278,0.4280653,0.19332063
85,whale,0.3206106,0.44340515,0.52921826,0.42349473,0.21938357
86,wolf,0.42833304,0.42850313,0.3969261,0.42618713,0.05917471
87,wombat,0.4951097,0.44483402,0.36227268,0.44956172,0.1465383
88,woodpecker,0.49408454,0.47543994,0.42891392,0.4760446,0.08656058
89,zebra,0.6004149,0.5712286,0.4954423,0.5719619,0.12265742
